product_name,Product_unique_ID,product_Affiliate_site,product_Affiliate_url,product_major_category,product_minor_category,Product_Buy_box_price,Product_lowest_price,Product_current_price,Product_image_path,Publish,Publish_time,updated_date
"BenQ GW2490 24"" 1920x1080p FHD IPS Monitor",B0CQ2VKBMH,https://www.amazon.in/,https://amzn.to/4iuoWLt,Electronics,Monitor,8249,7998,8250,,,,2025-04-26 16:57:27
Acer EK220Q Ebi 21.5 Inch IPS Full HD (1920x1080) Backlit LED LCD Monitor,B0CLY9HWHN,https://www.amazon.in/,https://amzn.to/442qYig,Electronics,Monitor,5997,5499,5998,,,,2025-04-26 16:57:27
Samsung Essential Series 1800R Curved Monitor 24 Inch ,B0DHRRV424,https://www.amazon.in/,https://amzn.to/448vHz3,Electronics,Monitor,7998,7699,7999,,,,2025-04-26 16:57:27
Acer KA270 G 27 Inch IPS Full HD Backlit LED Monitor ,B0BM5YJK49,https://www.amazon.in/,https://amzn.to/3Y8nS8H,Electronics,Monitor,8298,7859,8299,,,,2025-04-26 16:57:27
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage,",B08N5W4NNB,https://www.amazon.in/,https://amzn.to/4lFigN3,Electronics,Laptops,60989,56990,60990,,,,2025-04-26 16:57:27
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch",B0D3HG5CMG,https://www.amazon.in/,https://amzn.to/3GhQypD,Electronics,Laptops,29989,25457,29990,,,,2025-04-26 16:57:27
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg)",B0CJM5Z6FY,https://www.amazon.in/,https://amzn.to/3RYUq1e,Electronics,Laptops,43989,39152,43990,,,,2025-04-26 16:57:27
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD",B0DG2GCTD7,https://www.amazon.in/,https://amzn.to/43Y7mf6,Electronics,Laptops,34489,31990,34490,,,,2025-04-26 16:57:27
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD)",B0CP2KRYLM,https://www.amazon.in/,https://amzn.to/42GFda2,Electronics,Laptops,36989,33990,36990,,,,2025-04-26 16:57:27
"Pigeon by Stovekraft Favourite Outer Lid Non Induction Aluminium Pressure Cooker, 3 Litres",B00VK5MCMI,https://www.amazon.in/,https://amzn.to/4jF0TKz,Kitchen,Cookware,698,525,699,,,,2025-04-26 16:57:27
Pigeon Stainless Steel Idly Maker 4 Plates Compatible with Induction and Gas Stove,B0BQDM2FXD,https://www.amazon.in/,https://amzn.to/3S0mD7Q,Kitchen,Cookware,788,699,789,,,,2025-04-26 16:57:27
"Hawkins 3 Litre Contura Black Pressure Cooker, Hard Anodised Inner Lid Cooker",B00SX03I80,https://www.amazon.in/,https://amzn.to/3Y9h2zK,Kitchen,Cookware,1898,1752,1899,,,,2025-04-26 16:57:27
"Hawkins 3 Litre Inner Lid Pressure Cooker, Stainless Steel Cooker",B002MPQH8U,https://www.amazon.in/,https://amzn.to/4lCwMoO,Kitchen,Cookware,2829,2531,2830,,,,2025-04-26 16:57:27
"Hawkins Nonstick Appe Pan with Glass Lid, 12 Cups, Diameter 20 cm",B08FS336P2,https://www.amazon.in/,https://amzn.to/4cN4XGE,Kitchen,Cookware,1048,1049,1049,,,,2025-04-26 16:57:27
Butterfly Smart 2 Burner Glass Top Gas Stove | Manual Ignition | Scratch Resistant Toughened Glass | Brass Burners ,B07KMC8C9B,https://www.amazon.in/,https://amzn.to/4jK8Uy4,Kitchen,Gas Stove,2698,2499,2699,,,,2025-04-26 16:57:27
Pigeon Aster Gas Stove 2 Burner with High Powered Brass Burner,B07VSSQRMJ,https://www.amazon.in/,https://amzn.to/42U0WMY,Kitchen,Gas Stove,1698,1399,1699,,,,2025-04-26 16:57:27
Lifelong 2 Burner Gas Stove Top for Kitchen - Automatic Ignition Cooktop Modern Glass Stove for Modular Kitchen,B097PDHWY8,https://www.amazon.in/,https://amzn.to/3RsKjSk,Kitchen,Gas Stove,1498,1499,1499,,,,2025-04-26 16:57:27
MILTON Premium 3 Burner Black Manual Ignition Glass Top Gas Stove,B0845ZQN9T,https://www.amazon.in/,https://amzn.to/4ir8xar,Kitchen,Gas Stove,3248,2849,3249,,,,2025-04-26 16:57:27
